,BuildingType,PrimaryPropertyType,ZipCode,TaxParcelIdentificationNumber,CouncilDistrictCode,Neighborhood,Latitude,Longitude,NumberofBuildings,NumberofFloors,PropertyGFATotal,LargestPropertyUseType,ENERGYSTARScore,SiteEnergyUse(kBtu),TotalGHGEmissions,Age,prop_GFAParking,prop_Use1,prop_Use2,prop_Use3
0,NonResidential,Hotel,98101.0,0659000030,7,DOWNTOWN,47.6122,-122.33799,1.0,12,88434,Hotel,60.0,7226362.5,249.98,89,0.0,0.0,0.0,0.0
1,NonResidential,Hotel,98101.0,0659000220,7,DOWNTOWN,47.61317,-122.33393,1.0,11,103566,Hotel,61.0,8387933.0,295.86,20,0.1454531409922175,0.8099183129598517,0.1454531409922175,0.04462854604793079
2,NonResidential,Hotel,98101.0,0659000475,7,DOWNTOWN,47.61393,-122.3381,1.0,41,956110,Hotel,43.0,72587024.0,2089.28,47,0.20574829256047944,0.0,0.0,0.0
3,NonResidential,Hotel,98101.0,0659000640,7,DOWNTOWN,47.61412,-122.33664,1.0,10,61320,Hotel,56.0,6794584.0,286.43,90,0.0,0.0,0.0,0.0
4,NonResidential,Hotel,98121.0,0659000970,7,DOWNTOWN,47.61375,-122.34047,1.0,18,175580,Hotel,75.0,14172606.0,505.01,36,0.3531153889964688,0.6447762909106104,0.3552237090893896,0.0
5,Nonresidential COS,Other,98101.0,0660000560,7,DOWNTOWN,47.61623,-122.33657,1.0,2,97288,Police Station,,12086616.0,301.81,17,0.382349313378834,0.0,0.0,0.0
6,NonResidential,Hotel,98101.0,0660000825,7,DOWNTOWN,47.6139,-122.33283,1.0,11,83008,Hotel,27.0,5758795.0,176.14,90,0.0,0.0,0.0,0.0
7,NonResidential,Other,98101.0,0660000955,7,DOWNTOWN,47.61327,-122.33136,1.0,8,102761,Other - Entertainment/Public Assembly,,6298131.5,221.51,90,0.0,0.0,0.0,0.0
8,NonResidential,Hotel,98104.0,0939000080,7,DOWNTOWN,47.60294,-122.33263,1.0,15,163984,Hotel,43.0,13723820.0,392.16,112,0.0,0.0,0.0,0.0
10,NonResidential,Hotel,98101.0,0942000145,7,DOWNTOWN,47.60695,-122.33414,1.0,11,153163,Hotel,30.0,16016644.0,691.26,47,0.12587243655452035,0.0,0.0,0.0
11,NonResidential,Hotel,98101.0,0942000165,7,DOWNTOWN,47.60713,-122.33323,1.0,25,333176,Hotel,36.0,26941110.0,740.97,18,0.18356964487237976,0.0,0.0,0.0
12,NonResidential,Hotel,98104.0,0942000210,7,DOWNTOWN,47.60699,-122.33346,1.0,9,65009,Hotel,48.0,6596057.5,328.23,88,0.0,0.0,0.0,0.0
13,NonResidential,Hotel,98101.0,0942000235,7,DOWNTOWN,47.60809,-122.33212,1.0,33,315952,Hotel,58.0,22325364.0,648.62,36,0.18230617308958322,0.0,0.0,0.0
14,NonResidential,Hotel,98101.0,0942000265,7,DOWNTOWN,47.60755,-122.33244,1.0,11,92190,Hotel,35.0,10750010.0,511.39,94,0.2733485193621868,0.0,0.0,0.0
15,Nonresidential COS,Other,98154.0,0942000275,7,DOWNTOWN,47.60649,-122.33297,1.0,11,412000,Library,,18588860.0,181.38,12,0.1383495145631068,0.8793359791993484,0.11807598792251324,0.002588032878138351
